spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
highway,limited fascination,difficult to engage,negative,201311_113.83766518162263_22.641416403895732.png,difficult to engage
vehicles,boredom,lack of attention,negative,201311_113.83766518162263_22.641416403895732.png,lack of attention
signage,lack of interest,disengagement,negative,201311_113.83766518162263_22.641416403895732.png,disengagement
mountains,distant appeal,momentary distraction,neutral,201311_113.83766518162263_22.641416403895732.png,momentary distraction
greenery,minimal engagement,brief observation,neutral,201311_113.83766518162263_22.641416403895732.png,brief observation
roadway,monotonous and lacking stimuli,boredom,negative,201311_113.83533558902073_22.644305643221244.png,boredom
trees,functional and unengaging,disinterest,negative,201311_113.83533558902073_22.644305643221244.png,disinterest
buildings,utilitarian,lack of engagement,negative,201311_113.83533558902073_22.644305643221244.png,lack of engagement
trees,limited fascination,lack of engagement,negative,201311_113.826843_22.5991516.png,lack of engagement
sky,limited fascination,lack of engagement,negative,201311_113.826843_22.5991516.png,lack of engagement
overpass,not engaging,avoidance,negative,201311_113.826843_22.5991516.png,avoidance
construction,not engaging,avoidance,negative,201311_113.826843_22.5991516.png,avoidance
road,plainness,lack of interest,negative,201311_113.826843_22.5991516.png,lack of interest
urban elements,little attention,disengagement,negative,201311_113.826843_22.5991516.png,disengagement
foliage,visual interest,engagement,positive,201311_113.8327226_22.588928800000005.png,engagement
road,limited fascination,distraction,negative,201311_113.8327226_22.588928800000005.png,distraction
fence,restricted view,avoidance,negative,201311_113.8327226_22.588928800000005.png,avoidance
debris,lack of appeal,disengagement,negative,201311_113.8327226_22.588928800000005.png,disengagement
vehicles,monotony,disinterest,negative,201311_113.8327226_22.588928800000005.png,disinterest
scenery,not engaging,lack of attention,negative,201311_113.8327226_22.588928800000005.png,lack of attention
highway,limited engagement,avoid exploration,negative,201311_113.87865392033376_22.61317748414232.png,avoid exploration
greenery,lack of fascination,feel boredom,negative,201311_113.87865392033376_22.61317748414232.png,feel boredom
sky,sense of openness,increased relaxation,positive,201311_113.83882751120629_22.63997007932517.png,increased relaxation
mountains,awe and wonder,exploration,positive,201311_113.83882751120629_22.63997007932517.png,exploration
greenery,calmness,social interaction,positive,201311_113.83882751120629_22.63997007932517.png,social interaction
barrier,isolation,withdrawal,negative,201311_113.83882751120629_22.63997007932517.png,withdrawal
highway,monotony,disengagement,negative,201311_113.83882751120629_22.63997007932517.png,disengagement
trees,visually engaging,increased exploration,positive,201311_113.8247679_22.6033668.png,increased exploration
sky,sense of visual interest,enhanced relaxation,positive,201311_113.8247679_22.6033668.png,enhanced relaxation
road,overall simplicity,limited engagement,negative,201311_113.8247679_22.6033668.png,limited engagement
greenery,visually engaging environment,exploration,positive,201311_113.8462841_22.583814599999993.png,exploration
sunlight,inviting atmosphere,relaxation,positive,201311_113.8462841_22.583814599999993.png,relaxation
road,sense of journey,movement,positive,201311_113.8462841_22.583814599999993.png,movement
trees,interest in details,curiosity,positive,201311_113.8462841_22.583814599999993.png,curiosity
elements,lack of excitement,disengagement,negative,201311_113.8462841_22.583814599999993.png,disengagement
focal points,limited fascination,reduced exploration,negative,201311_113.8462841_22.583814599999993.png,reduced exploration
road,limited attention,avoid boredom,negative,201311_113.83844682320864_22.579318505915754.png,avoid boredom
vegetation,minimal visual stimulation,difficult to engage,negative,201311_113.83844682320864_22.579318505915754.png,difficult to engage
infrastructure,lack of interest,distraction avoidance,negative,201311_113.83844682320864_22.579318505915754.png,distraction avoidance
highway,limited fascination,difficult to engage,negative,201311_113.84117664281987_22.637094674727816.png,difficult to engage
greenery,some attraction,momentary interest,neutral,201311_113.84117664281987_22.637094674727816.png,momentary interest
mountains,distant beauty,brief admiration,neutral,201311_113.84117664281987_22.637094674727816.png,brief admiration
greenery,engaging nature,increased attention,positive,201311_113.882861_22.6128348.png,increased attention
buildings,visual interest,exploration of space,positive,201311_113.882861_22.6128348.png,exploration of space
courts,dynamic atmosphere,social interaction,positive,201311_113.882861_22.6128348.png,social interaction
sunlight,vibrant mood,outdoor activities,positive,201311_113.882861_22.6128348.png,outdoor activities
textures,aesthetic appreciation,increased curiosity,positive,201311_113.882861_22.6128348.png,increased curiosity
trees,degree of visual interest,engagement with space,positive,201311_113.8964295_22.5980825.png,engagement with space
road,limited engagement,avoidance of interaction,negative,201311_113.8964295_22.5980825.png,avoidance of interaction
fencing,restricted access,decreased exploration,negative,201311_113.8964295_22.5980825.png,decreased exploration
construction,detracted sense of wonder,disinterest in surroundings,negative,201311_113.8964295_22.5980825.png,disinterest in surroundings
road,boredom,lack of engagement,negative,201311_113.9210168_22.637396899999995.png,lack of engagement
barrier,disinterest,avoidance,negative,201311_113.9210168_22.637396899999995.png,avoidance
trees,minimal interest,passive observation,neutral,201311_113.9210168_22.637396899999995.png,passive observation
buildings,lack of fascination,disengagement,negative,201311_113.9210168_22.637396899999995.png,disengagement
roads,limited visual interest,prevent boredom,negative,201311_113.91650685779294_22.599782819195894.png,prevent boredom
greenery,lack of engagement,avoid exploration,negative,201311_113.91650685779294_22.599782819195894.png,avoid exploration
trees,some visual interest,engagement with surroundings,positive,201311_113.8903839_22.5539715.png,engagement with surroundings
cars,limits attention,distraction,negative,201311_113.8903839_22.5539715.png,distraction
architecture,lack of captivating elements,boredom,negative,201311_113.8903839_22.5539715.png,boredom
bicycles,not enough novelty,short-lived interest,negative,201311_113.8903839_22.5539715.png,short-lived interest
streetlights,minimal engagement,lack of exploration,negative,201311_113.8903839_22.5539715.png,lack of exploration
vehicles,limited fascination,lack of engagement,negative,201311_113.9022082_22.590201799999996.png,lack of engagement
greenery,separated interest,minimal interaction,negative,201311_113.9022082_22.590201799999996.png,minimal interaction
road,monotony,disinterest,negative,201311_113.9022082_22.590201799999996.png,disinterest
noise barriers,isolation,avoidance,negative,201311_113.9022082_22.590201799999996.png,avoidance
buildings,moderate fascination,exploration,neutral,201311_113.907799_22.526203099999996.png,exploration
trees,visual engagement,appreciation,positive,201311_113.907799_22.526203099999996.png,appreciation
signage,points of interest,navigation,positive,201311_113.907799_22.526203099999996.png,navigation
roads,potential distraction,avoidance,negative,201311_113.907799_22.526203099999996.png,avoidance
foliage,play of light and shadow,observation,positive,201311_113.907799_22.526203099999996.png,observation
trees,limited engagement,short visits,negative,201311_113.90606_22.596435000000003.png,short visits
road,lack of interest,avoidance of prolonged stay,negative,201311_113.90606_22.596435000000003.png,avoidance of prolonged stay
vegetation,diminished attention,minimal interaction,negative,201311_113.90606_22.596435000000003.png,minimal interaction
highway,limited fascination,potential boredom,negative,201311_113.9315387_22.6072424.png,potential boredom
traffic,lack of interest,disengagement,negative,201311_113.9315387_22.6072424.png,disengagement
greenery,somewhat overshadowed,reduced attention,negative,201311_113.9315387_22.6072424.png,reduced attention
hills,diminished appeal,inattention,negative,201311_113.9315387_22.6072424.png,inattention
canopy,moderate fascination,observe surroundings,neutral,201311_113.92134492327405_22.6301559311904.png,observe surroundings
sunlight,visual interest,explore area,positive,201311_113.92134492327405_22.6301559311904.png,explore area
road,limited immersion,feel boredom,negative,201311_113.92134492327405_22.6301559311904.png,feel boredom
trees,visual interest,engagement,positive,201311_113.95997440000001_22.599463099999998.png,engagement
vehicles,limited fascination,distraction,negative,201311_113.95997440000001_22.599463099999998.png,distraction
signs,repetitive nature,lack of engagement,negative,201311_113.95997440000001_22.599463099999998.png,lack of engagement
light,moderate fascination,appreciation,positive,201311_113.95997440000001_22.599463099999998.png,appreciation
sky,visual appeal,upliftment,positive,201311_113.95997440000001_22.599463099999998.png,upliftment
infrastructure,limited engagement,avoidance,negative,201311_113.95997440000001_22.599463099999998.png,avoidance
trees,lack of engagement,disinterest,negative,201311_113.9212475061574_22.624198398318953.png,disinterest
architecture,monotony,boredom,negative,201311_113.9212475061574_22.624198398318953.png,boredom
vehicles,routine,passive observation,neutral,201311_113.9212475061574_22.624198398318953.png,passive observation
palm,moderate fascination,mild exploration,neutral,201311_113.955732_22.590690699999996.png,mild exploration
clutter,detracted engagement,avoidance,negative,201311_113.955732_22.590690699999996.png,avoidance
building,uniformity,passive observation,neutral,201311_113.955732_22.590690699999996.png,passive observation
trees,limited fascination,difficulty in engagement,negative,201311_113.93390290000002_22.603255199999996.png,difficulty in engagement
road,dominance of infrastructure,reduced attention,negative,201311_113.93390290000002_22.603255199999996.png,reduced attention
sunlight,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png,hard to be bored
trees,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png,hard to be bored
road,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png,hard to be bored
landscaping,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png,hard to be bored
trees,some visual interest,explore surroundings,positive,201311_113.97217166373336_22.598046834891043.png,explore surroundings
sidewalks,lack of distinct features,limited engagement,negative,201311_113.97217166373336_22.598046834891043.png,limited engagement
road,limits novelty,reduced curiosity,negative,201311_113.97217166373336_22.598046834891043.png,reduced curiosity
storefronts,captivated attention,exploring the area,positive,201311_113.9785024_22.6241635.png,exploring the area
signage,cultural engagement,interacting with vendors,positive,201311_113.9785024_22.6241635.png,interacting with vendors
vehicles,dynamic environment,navigating through space,positive,201311_113.9785024_22.6241635.png,navigating through space
trees,visual interest,taking breaks,positive,201311_113.9785024_22.6241635.png,taking breaks
architecture,aesthetic appreciation,photographing scenes,positive,201311_113.9785024_22.6241635.png,photographing scenes
sky,bright atmosphere,engagement with surroundings,positive,201311_113.9787376_22.589872099999997.png,engagement with surroundings
architecture,lack of novelty,disinterest in exploration,negative,201311_113.9787376_22.589872099999997.png,disinterest in exploration
signage,moderate visual stimulation,casual observation,neutral,201311_113.9787376_22.589872099999997.png,casual observation
greenery,sense of natural intrigue,exploring the path,positive,201311_113.9824091_22.594394199999996.png,exploring the path
buildings,visual interest,engaging with surroundings,positive,201311_113.9824091_22.594394199999996.png,engaging with surroundings
sky,engaging environment,spending time outdoors,positive,201311_113.9824091_22.594394199999996.png,spending time outdoors
vegetation,slight visual interest,minimal engagement,positive,201311_113.9874162_22.598817899999997.png,minimal engagement
roads,boredom,disengagement,negative,201311_113.9874162_22.598817899999997.png,disengagement
vehicles,boredom,disengagement,negative,201311_113.9874162_22.598817899999997.png,disengagement
buildings,lack of fascination,disengagement,negative,201311_113.9874162_22.598817899999997.png,disengagement
trees,high fascination,increased attention,positive,201311_113.9934289_22.598725899999998.png,increased attention
spaces,visual interest,engagement with environment,positive,201311_113.9934289_22.598725899999998.png,engagement with environment
architecture,captured interest,exploration of surroundings,positive,201311_113.9934289_22.598725899999998.png,exploration of surroundings
landscaping,moderate fascination,prolonged presence,positive,201311_113.9934289_22.598725899999998.png,prolonged presence
vegetation,visual interest,engage viewer's attention,positive,201311_113.9956108_22.602901100000004.png,engage viewer's attention
water,moderate fascination,prevent boredom,neutral,201311_113.9956108_22.602901100000004.png,prevent boredom
rock,limited engagement,lack of deep engagement,negative,201311_113.9956108_22.602901100000004.png,lack of deep engagement
urban,contrast perception,heightened awareness,neutral,201311_113.9956108_22.602901100000004.png,heightened awareness
trees,limited visual interest,not actively engaged,negative,201311_113.9849525_22.597865099999996.png,not actively engaged
buildings,functional impression,not actively engaged,negative,201311_113.9849525_22.597865099999996.png,not actively engaged
sky,lack of intrigue,not bored,neutral,201311_113.9849525_22.597865099999996.png,not bored
foliage,engaging visual experience,exploration,positive,201311_113.97215286575438_22.599851368800312.png,exploration
sunlight,stimulating environment,enjoyment,positive,201311_113.97215286575438_22.599851368800312.png,enjoyment
wooded area,sense of intrigue,discovery,positive,201311_113.97215286575438_22.599851368800312.png,discovery
trees,touch of visual interest,increased engagement,positive,201311_114.010794_22.5554258.png,increased engagement
buildings,sense of monotony,decreased observation,negative,201311_114.010794_22.5554258.png,decreased observation
roads,functional impression,limited exploration,neutral,201311_114.010794_22.5554258.png,limited exploration
light,not particularly captivating,lack of inspiration,negative,201311_114.010794_22.5554258.png,lack of inspiration
shadow,not particularly captivating,lack of inspiration,negative,201311_114.010794_22.5554258.png,lack of inspiration
architecture,lack of fascination,disinterest,negative,201311_114.00419846671053_22.673102084815238.png,disinterest
infrastructure,limited engagement,avoidance,negative,201311_114.00419846671053_22.673102084815238.png,avoidance
greenery,mildly captivating,short-term engagement,positive,201311_113.9934635_22.605469299999996.png,short-term engagement
road,not particularly engaging,limited exploration,negative,201311_113.9934635_22.605469299999996.png,limited exploration
fencing,sense of limitation,restricted movement,negative,201311_113.9934635_22.605469299999996.png,restricted movement
buildings,diminished fascination,lack of interest,negative,201311_113.9934635_22.605469299999996.png,lack of interest
roads,functional but unengaging,lack of exploration,negative,201311_113.9978764_22.603342699999995.png,lack of exploration
buildings,orderly environment,minimal interaction,negative,201311_113.9978764_22.603342699999995.png,minimal interaction
landscaping,sparse and uninspiring,reduced engagement,negative,201311_113.9978764_22.603342699999995.png,reduced engagement
crosswalks,mildly interesting,brief curiosity,neutral,201311_113.9978764_22.603342699999995.png,brief curiosity
facades,not captivating,lack of attraction,negative,201311_113.9978764_22.603342699999995.png,lack of attraction
trees,interest and engagement,exploration,positive,201311_114.0367137_22.625328199999995.png,exploration
garden,calmness,relaxation,positive,201311_114.0367137_22.625328199999995.png,relaxation
villa,aesthetic appreciation,social interaction,positive,201311_114.0367137_22.625328199999995.png,social interaction
buildings,uniformity,limited engagement,negative,201311_114.0367137_22.625328199999995.png,limited engagement
laundry,commonality,disinterest,negative,201311_114.0367137_22.625328199999995.png,disinterest
trees,sense of nature,encourages relaxation,positive,201311_114.108805_22.539949000000004.png,encourages relaxation
buildings,functional busy street,limited exploration,negative,201311_114.108805_22.539949000000004.png,limited exploration
vehicles,chaotic environment,hastened movement,negative,201311_114.108805_22.539949000000004.png,hastened movement
signage,information overload,distracted focus,negative,201311_114.108805_22.539949000000004.png,distracted focus
shops,moderate fascination,draws attention,positive,201311_114.1329892_22.5822593.png,draws attention
signs,enhanced engagement,stimulates exploration,positive,201311_114.1329892_22.5822593.png,stimulates exploration
environment,limited engagement,reduces exploration,negative,201311_114.1329892_22.5822593.png,reduces exploration
styles,repetitive monotony,diminishes curiosity,negative,201311_114.1329892_22.5822593.png,diminishes curiosity
intersection,lively engagement,exploration,positive,201311_114.07813510000001_22.5592236.png,exploration
signage,captivated attention,shopping,positive,201311_114.07813510000001_22.5592236.png,shopping
traffic,limited engagement,avoidance,negative,201311_114.07813510000001_22.5592236.png,avoidance
trees,mild restoration,brief respite,neutral,201311_114.07813510000001_22.5592236.png,brief respite
buildings,overwhelmed feeling,withdrawal,negative,201311_114.07813510000001_22.5592236.png,withdrawal
buildings,ongoing development,less likely to engage,negative,201311_114.0918839_22.580004399999996.png,less likely to engage
terrain,disarray,induce boredom,negative,201311_114.0918839_22.580004399999996.png,induce boredom
greenery,visual interest,capture attention,positive,201311_114.0918839_22.580004399999996.png,attention capture
trucks,lack of fascination,distract attention,negative,201311_114.0918839_22.580004399999996.png,distract focus
debris,lack of appeal,reduce engagement,negative,201311_114.0918839_22.580004399999996.png,decreased engagement
trees,captures attention,exploration,positive,201311_114.1260936_22.5848949.png,exploration
roadway,limited engagement,disinterest,negative,201311_114.1260936_22.5848949.png,disinterest
greenery,intrigue,admiration,positive,201311_114.1260936_22.5848949.png,appreciation for aesthetics
construction,distracting,avoidance,negative,201311_114.1260936_22.5848949.png,avoidance
trees,reasonably engaging,exploration,positive,201311_114.0363794_22.549060799999996.png,exploration
