spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
highway,limited exploration,restricted movement,negative,201311_113.83766518162263_22.641416403895732.png,diminished engagement
barriers,sense of confinement,avoidance of new directions,negative,201311_113.83766518162263_22.641416403895732.png,discourage exploration
roadway,sense of spaciousness,movement and exploration,positive,201311_113.83533558902073_22.644305643221244.png,exploration of environment
vehicles,dynamic environment,traveling,positive,201311_113.83533558902073_22.644305643221244.png,engagement with environment
buildings,broader context,exploring further areas,positive,201311_113.83533558902073_22.644305643221244.png,exploration
hills,sense of distance,desire to venture out,positive,201311_113.83533558902073_22.644305643221244.png,eagerness
road,constrained exploration,hesitation to explore,negative,201311_113.826843_22.5991516.png,exploratory hesitation
trees,limited openness,avoidance of engagement,negative,201311_113.826843_22.5991516.png,stagnation
wall,sense of confinement,withdrawal from space,negative,201311_113.826843_22.5991516.png,avoidance of venturing
overpass,blocked view,disinterest in surroundings,negative,201311_113.826843_22.5991516.png,stagnation
construction,disruption of peace,avoidance of area,negative,201311_113.826843_22.5991516.png,avoidance of venturing
road,limited spatial exploration,restricted movement,negative,201311_113.8327226_22.588928800000005.png,diminished engagement
greenery,sense of confinement,hesitation to explore,negative,201311_113.8327226_22.588928800000005.png,exploratory hesitation
wall,feeling of boundaries,avoidance of exploration,negative,201311_113.8327226_22.588928800000005.png,discourage exploration
highway,sense of linearity and forward movement,possibility of travel,positive,201311_113.87865392033376_22.61317748414232.png,exploration of environment
road,hints at a larger environment,exploration,positive,201311_113.87865392033376_22.61317748414232.png,exploration
greenery,sense of freedom,enjoyment of nature,positive,201311_113.87865392033376_22.61317748414232.png,willingness to explore
mountains,sense of distance,desire to explore,positive,201311_113.87865392033376_22.61317748414232.png,eagerness
vehicle,limited sense of exploration,restricted movement,negative,201311_113.87865392033376_22.61317748414232.png,diminished engagement
roadside,immediate environment,awareness of surroundings,neutral,201311_113.87865392033376_22.61317748414232.png,exploring further
highway,limited sense of exploration,constrained movement,negative,201311_113.83882751120629_22.63997007932517.png,diminished engagement
mountains,hint of larger landscape,encouraged curiosity,positive,201311_113.83882751120629_22.63997007932517.png,promotes interaction
barriers,feeling of confinement,reduced exploration,negative,201311_113.83882751120629_22.63997007932517.png,limited exploration
road,expansive view,limited physical movement,neutral,201311_113.83882751120629_22.63997007932517.png,constrained mobility
road,suggests a journey,exploration,positive,201311_113.8247679_22.6033668.png,exploration
foliage,limited exploration,hesitation,negative,201311_113.8247679_22.6033668.png,hesitation
fence,sense of confinement,restriction,negative,201311_113.8247679_22.6033668.png,reduction of movement
property,lack of openness,avoidance,negative,201311_113.8247679_22.6033668.png,avoidance of venturing
road,sense of exploration,encourages movement,positive,201311_113.8462841_22.583814599999993.png,promotes interaction
walls,feeling of confinement,restricts movement,negative,201311_113.8462841_22.583814599999993.png,constrained movement
vegetation,limited openness,reduces exploration,negative,201311_113.8462841_22.583814599999993.png,limited exploration
road,sense of limited boundaries,limited exploration,negative,201311_113.83844682320864_22.579318505915754.png,limited exploration
vegetation,sense of confinement,restricted movement,negative,201311_113.83844682320864_22.579318505915754.png,diminished engagement
wall,feeling of enclosure,discouraged exploration,negative,201311_113.83844682320864_22.579318505915754.png,discourage free movement
highway,limited sense of freedom,restricted exploration,negative,201311_113.84117664281987_22.637094674727816.png,reduction of movement
barrier,constrained environment,lack of movement,negative,201311_113.84117664281987_22.637094674727816.png,diminished engagement
roads,sense of spaciousness,exploration,positive,201311_113.882861_22.6128348.png,exploration
greenery,calming effect,movement,positive,201311_113.882861_22.6128348.png,unrestricted movement
pathways,invitation to discover,walking,positive,201311_113.882861_22.6128348.png,unrestricted movement
landscaping,openness,exploration,positive,201311_113.882861_22.6128348.png,exploration
sports courts,active engagement,participation in sports,positive,201311_113.882861_22.6128348.png,invites leisure activities
roads,potential for exploration,exploring surroundings,positive,201311_113.8964295_22.5980825.png,exploration of environment
horizon,sense of openness,seeking new experiences,positive,201311_113.8964295_22.5980825.png,promotes interaction
greenery,connection to nature,spending time outdoors,positive,201311_113.8964295_22.5980825.png,invites outdoor activities
infrastructure,feeling contained,limited exploration,negative,201311_113.8964295_22.5980825.png,limited exploration
fences,sense of restriction,avoiding certain areas,negative,201311_113.8964295_22.5980825.png,avoidance of venturing
road,sense of openness,explore,positive,201311_113.9210168_22.637396899999995.png,exploration of environment
barrier,limited exploration,restrict movement,negative,201311_113.9210168_22.637396899999995.png,lack of freedom
areas,restricted feeling,limit movement,negative,201311_113.9210168_22.637396899999995.png,lack of freedom
roads,sense of openness,exploration,positive,201311_113.91650685779294_22.599782819195894.png,exploration
views,feeling of spaciousness,movement,positive,201311_113.91650685779294_22.599782819195894.png,unrestricted movement
infrastructure,defined space,navigation,neutral,201311_113.91650685779294_22.599782819195894.png,navigating through spaces
sky,sense of potential,exploration,positive,201311_113.91650685779294_22.599782819195894.png,exploration
buildings,sense of confinement,limited exploration,negative,201311_113.8903839_22.5539715.png,limited exploration
vehicles,feeling of restriction,hesitation to move,negative,201311_113.8903839_22.5539715.png,exploratory hesitation
sidewalks,sense of order,structured movement,neutral,201311_113.8903839_22.5539715.png,designated movement
street,lack of openness,avoidance of exploration,negative,201311_113.8903839_22.5539715.png,discourage exploration
highway,sense of openness,exploration,positive,201311_113.9022082_22.590201799999996.png,exploration
barriers,limited perception,restricted exploration,negative,201311_113.9022082_22.590201799999996.png,reduction of movement
road,focus on immediate path,narrowed travel options,neutral,201311_113.9022082_22.590201799999996.png,diminished engagement
roads,degree of openness,movement,positive,201311_113.907799_22.526203099999996.png,unrestricted movement
buildings,perceived boundaries,restricted exploration,negative,201311_113.907799_22.526203099999996.png,reduction of movement
sidewalks,moderate environment,walking,neutral,201311_113.907799_22.526203099999996.png,unrestricted movement
fences,imposed limits,hesitation to explore,negative,201311_113.907799_22.526203099999996.png,exploratory hesitation
traffic,sense of danger,caution in movement,negative,201311_113.907799_22.526203099999996.png,cautious engagement
pathway,well-defined route,navigating urban space,positive,201311_113.907799_22.526203099999996.png,navigating through spaces
road,possibility of movement,exploration,positive,201311_113.90606_22.596435000000003.png,exploration
vegetation,sense of openness,navigate surroundings,positive,201311_113.90606_22.596435000000003.png,exploring further
fences,limitations on freedom,hesitation to explore,negative,201311_113.90606_22.596435000000003.png,exploratory hesitation
urban elements,bounded environment,restrictive movement,negative,201311_113.90606_22.596435000000003.png,diminished engagement
highway,sense of openness,exploration,positive,201311_113.9315387_22.6072424.png,exploration
landscapes,feeling of vastness,movement,positive,201311_113.9315387_22.6072424.png,unrestricted movement
hills,curiosity,exploration,positive,201311_113.9315387_22.6072424.png,exploration
greenery,connection to nature,leisure activities,positive,201311_113.9315387_22.6072424.png,encourages mobility
trees,sense of spaciousness,exploration,positive,201311_113.92134492327405_22.6301559311904.png,exploration
road,sense of openness,movement,positive,201311_113.92134492327405_22.6301559311904.png,unrestricted movement
wooded area,hint of expansiveness,curiosity,positive,201311_113.92134492327405_22.6301559311904.png,promotes interaction
road,ample space for exploration,movement and discovery,positive,201311_113.95997440000001_22.599463099999998.png,exploration of environment
sidewalks,sense of freedom,exploration,positive,201311_113.95997440000001_22.599463099999998.png,exploration
lanes,feeling of expanse,movement,positive,201311_113.95997440000001_22.599463099999998.png,unrestricted movement
pathways,sense of openness,discovery,positive,201311_113.95997440000001_22.599463099999998.png,exploration of environment
trees,feeling of expanse,exploration,positive,201311_113.95997440000001_22.599463099999998.png,exploration
street,limited exploration,avoidance of exploration,negative,201311_113.9212475061574_22.624198398318953.png,discourage exploration
sidewalks,constrained movement,hesitation to explore,negative,201311_113.9212475061574_22.624198398318953.png,exploratory hesitation
cars,sense of boundaries,reduced curiosity,negative,201311_113.9212475061574_22.624198398318953.png,restricted feeling of scope
sky,feeling of openness,increased desire for freedom,positive,201311_113.9212475061574_22.624198398318953.png,eagerness
path,feeling of spaciousness,movement and exploration,positive,201311_113.955732_22.590690699999996.png,exploration of environment
road,sense of openness,discovering new areas,positive,201311_113.955732_22.590690699999996.png,exploration of environment
sidewalks,comfort in navigation,encouraging walking,positive,201311_113.955732_22.590690699999996.png,promotes interaction
sky,feeling of freedom,exploration,positive,201311_113.955732_22.590690699999996.png,exploration
boundaries,lack of restriction,enhanced movement,positive,201311_113.955732_22.590690699999996.png,incentivizes exploration
highway,sense of forward progression,movement along the road,positive,201311_113.93390290000002_22.603255199999996.png,exploration
trees,suggestion of breadth,exploration of surroundings,positive,201311_113.93390290000002_22.603255199999996.png,exploration of environment
road,implicit boundaries,limited exploration,negative,201311_113.93390290000002_22.603255199999996.png,limited exploration
lanes,confinement of movement,restricted exploration,negative,201311_113.93390290000002_22.603255199999996.png,reduction of movement
road,sense of openness,exploration,positive,201311_113.972093_22.603460099999996.png,exploration
green spaces,feeling of tranquility,movement,positive,201311_113.972093_22.603460099999996.png,unrestricted movement
pathways,invitation to discover,discovery,positive,201311_113.972093_22.603460099999996.png,exploration of environment
road,sense of freedom,exploration,positive,201311_113.97217166373336_22.598046834891043.png,exploration
area,possibilities for movement,discovery,positive,201311_113.97217166373336_22.598046834891043.png,exploration of environment
path,implied adventure,journeying,positive,201311_113.97217166373336_22.598046834891043.png,exploration
woods,curiosity,exploration,positive,201311_113.97217166373336_22.598046834891043.png,exploration
buildings,sense of enclosure,limited exploration,negative,201311_113.9785024_22.6241635.png,limited exploration
street,well-defined path,encouraged movement,positive,201311_113.9785024_22.6241635.png,incentivizes exploration
urban infrastructure,structured environment,navigational ease,positive,201311_113.9785024_22.6241635.png,navigate effectively
traffic,sense of activity,cautious engagement,neutral,201311_113.9785024_22.6241635.png,cautious engagement
street,sense of confinement,limited exploration,negative,201311_113.9787376_22.589872099999997.png,limited exploration
buildings,feeling of boundaries,restricted movement,negative,201311_113.9787376_22.589872099999997.png,diminished engagement
sidewalks,sense of linearity,following a path,neutral,201311_113.9787376_22.589872099999997.png,designated movement
pathway,sense of spaciousness,exploration,positive,201311_113.9824091_22.594394199999996.png,exploration
trees,room to move,movement,positive,201311_113.9824091_22.594394199999996.png,unrestricted movement
fences,visible boundaries,restricted movement,negative,201311_113.9824091_22.594394199999996.png,diminished engagement
buildings,impression of large area,exploration in multiple directions,positive,201311_113.9824091_22.594394199999996.png,exploration of environment
street,sense of movement,traversing the space,positive,201311_113.9874162_22.598817899999997.png,navigating through spaces
buildings,visual depth,exploring surroundings,positive,201311_113.9874162_22.598817899999997.png,exploration of environment
hillside,aesthetic appreciation,enjoying the view,positive,201311_113.9874162_22.598817899999997.png,invites outdoor activities
roadway,limited exploration,simply traversing,negative,201311_113.9874162_22.598817899999997.png,navigate space
roads,sense of openness,encouragement to explore,positive,201311_113.9934289_22.598725899999998.png,promotes interaction
