keyword,count,type
trees,31,object
greenery,17,object
visual interest,16,descriptor
buildings,16,object
repetitive,9,descriptor
utilitarian,9,descriptor
engaging,9,descriptor
captivating,8,descriptor
monotonous,8,descriptor
natural,7,descriptor
boredom,7,descriptor
moderate,6,descriptor
functional,6,descriptor
modern buildings,6,object
uniform,5,descriptor
pathway,5,object
modern architecture,4,object
vehicles,4,object
pleasant,4,descriptor
limited visual interest,4,descriptor
parked cars,3,object
limited,3,descriptor
road,3,object
varied,3,descriptor
visually engaging,3,descriptor
sustained attention,3,descriptor
dominated,3,descriptor
apartment buildings,3,object
intriguing,3,descriptor
pathways,3,object
well-maintained,3,descriptor
repetition,3,descriptor
numerous,3,descriptor
debris,3,object
architecture,3,object
natural elements,3,descriptor
modern building,2,object
distinct,2,descriptor
interesting,2,descriptor
sky,2,object
paved areas,2,object
minimal,2,descriptor
dense,2,descriptor
overcast,2,descriptor
path,2,object
scattered,2,descriptor
repetitive nature,2,descriptor
orderly,2,descriptor
parking lot,2,object
structures,2,object
parked vehicles,2,object
limited visual complexity,2,descriptor
calm,2,descriptor
overall scene,2,descriptor
varied textures,2,descriptor
banners,2,object
street,2,object
construction materials,2,object
winding,2,descriptor
windows,2,object
hard to be bored,2,descriptor
construction site,2,object
traffic cones,2,object
paved road,2,object
novelty,2,descriptor
visually interesting,2,descriptor
lush,2,descriptor
exceptionally captivating,2,descriptor
bored,2,descriptor
engaging features,2,descriptor
industrial buildings,2,object
unkempt,2,descriptor
large,2,descriptor
plain,2,descriptor
scooters,2,object
prevent boredom,2,descriptor
bicycles,2,object
wide,2,descriptor
parking spaces,2,object
fascination,2,descriptor
open,2,descriptor
contrast,2,descriptor
dynamic,2,descriptor
low fascination,2,descriptor
pedestrian activity,1,descriptor
unfinished,1,descriptor
fascinating,1,descriptor
inherent fascination,1,descriptor
organized,1,descriptor
not captivating,1,descriptor
not engaging,1,descriptor
dominant presence,1,descriptor
lacks intricate details,1,descriptor
building,1,object
green bins,1,object
details,1,descriptor
architectural,1,descriptor
disrupted,1,descriptor
visual stimuli,1,descriptor
striking,1,descriptor
urban environment,1,descriptor
curiosity,1,descriptor
pile of debris,1,object
significant,1,descriptor
overall,1,descriptor
difficult,1,descriptor
prominent,1,descriptor
sidewalks,1,object
man-made,1,descriptor
distant,1,descriptor
diverse,1,descriptor
exceptionally unique,1,descriptor
gentle fascination,1,descriptor
moderately engaging,1,descriptor
lacks elements,1,descriptor
new and engaging aspects,1,descriptor
