image_path,status,score,reason
.\image\201603_120.2706309_31.47985446.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 202508051707383453948043f9PDLLe) (request id: 20250805170734594048274DrXFP0yh)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.270227_31.48739147.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170738451767310VHNu202V) (request id: 20250805170734647745907k9Jnw4pH)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2703794_31.47882788.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170738475136752lhPxll3U) (request id: 20250805170734697743390V70eGcPR)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2653912_31.48545305.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170739288063660s7pBw6se) (request id: 20250805170734966278565swgq5KLm)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2657142_31.4908704.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170743264144400FvuUdspt) (request id: 20250805170739765179635EchFcf5A)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2639548_31.48188145.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170743734373313hdiPHpWp) (request id: 20250805170739538919647eIjEcoNI)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2716715_31.48866626.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170743944473046Af2rnUKC) (request id: 202508051707395305565248YtgTayM)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2704144_31.48707939.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170744472806864LFbQIQX4) (request id: 202508051707405213503664Nvdep41)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2691207_31.47686054.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170748919419818Ok8OIMzy) (request id: 202508051707445156073835SDe4YcW)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.268847_31.4935114.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170749100084465UnBTP54b) (request id: 20250805170745530440688Henp1sO)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2658085_31.47988536.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170749338208906vxwRUAEW) (request id: 202508051707457936059049AvV4Itq)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2714563_31.48988277.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170749425626742vPzuDwEV) (request id: 20250805170745394862276oAyJOPTU)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
