spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
highway,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png,movement facilitation
lanes,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png,movement facilitation
signage,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png,movement facilitation
barriers,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png,movement facilitation
road,sense of order,easy navigation,positive,201311_113.83533558902073_22.644305643221244.png,navigate with ease
lanes,predictability,confident driving,positive,201311_113.83533558902073_22.644305643221244.png,smoother driving experience
signage,clarity,informed decision-making,positive,201311_113.83533558902073_22.644305643221244.png,planning travel routes
buildings,secondary focus,limited engagement,neutral,201311_113.83533558902073_22.644305643221244.png,avoidance of interaction
greenery,background presence,minimal interaction,neutral,201311_113.83533558902073_22.644305643221244.png,minimal interaction
road,moderate coherence,navigate space,neutral,201311_113.826843_22.5991516.png,navigate through space
trees,sense of nature,relax and enjoy,positive,201311_113.826843_22.5991516.png,promote relaxation
overpass,sense of disarray,avoid area,negative,201311_113.826843_22.5991516.png,hesitation to use space
construction,sense of unfinished organization,feel confusion,negative,201311_113.826843_22.5991516.png,lack of orientation
road,sense of order,navigate easily,positive,201311_113.8327226_22.588928800000005.png,navigate with ease
wall,sense of structure,feel secure,positive,201311_113.8327226_22.588928800000005.png,confidence in safety
nature,calming effect,relax and enjoy,positive,201311_113.8327226_22.588928800000005.png,promote relaxation
road,feeling of coherence,sense of order,positive,201311_113.87865392033376_22.61317748414232.png,greater appreciation
greenery,sense of organization,appreciation of space,positive,201311_113.87865392033376_22.61317748414232.png,appreciation of space
lanes,clarity,navigation ease,positive,201311_113.87865392033376_22.61317748414232.png,easier navigation
divider,safety,increased confidence,positive,201311_113.87865392033376_22.61317748414232.png,confidence in safety
highway,strong sense of organization,navigating efficiently,positive,201311_113.83882751120629_22.63997007932517.png,easier navigation
road,sense of coherence,following the path,positive,201311_113.83882751120629_22.63997007932517.png,navigation assistance
barriers,structured and understandable,feeling secure,positive,201311_113.83882751120629_22.63997007932517.png,confidence in safety
buildings,visual order,appreciating the environment,positive,201311_113.83882751120629_22.63997007932517.png,engage with environment
road,sense of order,navigate confidently,positive,201311_113.8247679_22.6033668.png,confident driving
trees,natural arrangement,feel relaxed,positive,201311_113.8247679_22.6033668.png,promote relaxation
guardrail,sense of safety,move freely,positive,201311_113.8247679_22.6033668.png,navigate through space
fence,obscured view,feel restricted,negative,201311_113.8247679_22.6033668.png,discomfort in spaces
road,sense of order,navigate easily,positive,201311_113.8462841_22.583814599999993.png,navigate with ease
sidewalk,sense of order,navigate easily,positive,201311_113.8462841_22.583814599999993.png,navigate with ease
hedges,thoughtful landscaping,appreciate beauty,positive,201311_113.8462841_22.583814599999993.png,spending time outdoors
trees,thoughtful landscaping,appreciate beauty,positive,201311_113.8462841_22.583814599999993.png,spending time outdoors
natural elements,somewhat wild,explore freely,neutral,201311_113.8462841_22.583814599999993.png,desire to explore
arrangement,organized,understand space,positive,201311_113.8462841_22.583814599999993.png,understanding layout
road,somewhat organized,navigate easily,positive,201311_113.83844682320864_22.579318505915754.png,navigate with ease
wall,sense of order,feel secure,positive,201311_113.83844682320864_22.579318505915754.png,confidence in safety
vegetation,detracts from order,avoid area,negative,201311_113.83844682320864_22.579318505915754.png,hesitation to use space
graffiti,detracts from order,avoid area,negative,201311_113.83844682320864_22.579318505915754.png,hesitation to use space
highway,high degree of order,easy navigation,positive,201311_113.84117664281987_22.637094674727816.png,navigate with ease
lanes,clear understanding,following road rules,positive,201311_113.84117664281987_22.637094674727816.png,obey traffic rules
infrastructure,well-maintained,confidence in safety,positive,201311_113.84117664281987_22.637094674727816.png,increased comfort
layout,organized and functional,efficient movement,positive,201311_113.84117664281987_22.637094674727816.png,efficient traffic flow
roads,sense of order,navigate effectively,positive,201311_113.882861_22.6128348.png,predictable navigation
landscaping,visual harmony,enjoy surroundings,positive,201311_113.882861_22.6128348.png,attraction to nature
buildings,planned design,feel secure,positive,201311_113.882861_22.6128348.png,confidence in safety
shrubs,aesthetic appeal,relax and unwind,positive,201311_113.882861_22.6128348.png,enjoy the scenery
