spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
highway,lack of refuge,continued transit,negative,201311_113.83766518162263_22.641416403895732.png,continued commuting
traffic,functional space,focus on tasks,negative,201311_113.83766518162263_22.641416403895732.png,maintaining focus
infrastructure,stressful environment,avoidance of relaxation,negative,201311_113.83766518162263_22.641416403895732.png,avoidance of refuge
roadway,not a refuge,safe navigation,negative,201311_113.83533558902073_22.644305643221244.png,continued commuting
traffic,reinforces daily demands,maintaining focus,negative,201311_113.83533558902073_22.644305643221244.png,increased concentration
setting,utilitarian nature,continuing routines,negative,201311_113.83533558902073_22.644305643221244.png,engagement in daily life
construction,lack of refuge,avoidance of space,negative,201311_113.826843_22.5991516.png,no escape
overpass,distraction,increased stress,negative,201311_113.826843_22.5991516.png,continued stress
power lines,urban demands,focus on tasks,negative,201311_113.826843_22.5991516.png,maintaining focus
trees,separation from urban bustle,seeking tranquility,positive,201311_113.8327226_22.588928800000005.png,seeking serenity
road,limited escape,feeling tethered,negative,201311_113.8327226_22.588928800000005.png,discomfort in space
cars,disruption of peace,increased stress,negative,201311_113.8327226_22.588928800000005.png,continued stress
wall,barrier to freedom,feeling confined,negative,201311_113.8327226_22.588928800000005.png,feeling confined
sky,sense of openness,inspiration,positive,201311_113.8327226_22.588928800000005.png,none
highway,lack of escape,commuting,negative,201311_113.87865392033376_22.61317748414232.png,continued commuting
traffic,stress,traveling,negative,201311_113.87865392033376_22.61317748414232.png,continued commuting
road,mental detachment,transit,negative,201311_113.87865392033376_22.61317748414232.png,transit
highway,lack of escape,increased stress,negative,201311_113.83882751120629_22.63997007932517.png,continued stress
vehicles,ongoing activity,distraction from concerns,negative,201311_113.83882751120629_22.63997007932517.png,temporary shift in scenery
road signs,sense of urgency,focus on transit,negative,201311_113.83882751120629_22.63997007932517.png,engagement in logistics
trees,moderate sense of being away,mental escape,positive,201311_113.8247679_22.6033668.png,seeking serenity
road,departure from urban hustle,pleasant break,positive,201311_113.8247679_22.6033668.png,respite
sky,feeling of openness,mental escape,positive,201311_113.8247679_22.6033668.png,seeking serenity
trees,sense of escape,step away from concerns,positive,201311_113.8462841_22.583814599999993.png,brief respite
street,mental respite,find calm,positive,201311_113.8462841_22.583814599999993.png,find calm
road,lack of escape,remain engaged,negative,201311_113.83844682320864_22.579318505915754.png,maintaining focus
wall,connection to mundane,avoid exploration,negative,201311_113.83844682320864_22.579318505915754.png,avoidance of bothersome elements
graffiti,urban presence,stay within familiar,negative,201311_113.83844682320864_22.579318505915754.png,discomfort in space
highway,lack of mental detachment,prevent contemplation,negative,201311_113.84117664281987_22.637094674727816.png,avoidance of refuge
vehicles,distraction from escape,hinder refuge perception,negative,201311_113.84117664281987_22.637094674727816.png,no complete refuge
greenery,peaceful escape,respite,positive,201311_113.882861_22.6128348.png,respite
pathways,detachment from stresses,disconnection,positive,201311_113.882861_22.6128348.png,mental detachment
spaces,serene environment,opportunities for respite,positive,201311_113.882861_22.6128348.png,respite
aesthetic,feeling of detachment,escape from urban nuisances,positive,201311_113.882861_22.6128348.png,respite from city life
nature,partial escape from urban hustle,seeking refuge,positive,201311_113.8964295_22.5980825.png,seeking serenity
road,not a complete refuge,awareness of everyday concerns,negative,201311_113.8964295_22.5980825.png,acknowledge presence of urban life
vehicles,visible reminders of city life,acknowledging urban presence,negative,201311_113.8964295_22.5980825.png,recognition of demands
road,lack of refuge,difficulty disconnecting,negative,201311_113.9210168_22.637396899999995.png,challenging to rest
barriers,increased stress,feeling overwhelmed,negative,201311_113.9210168_22.637396899999995.png,feel stressed
traffic,constant distraction,inability to relax,negative,201311_113.9210168_22.637396899999995.png,difficulty detaching
context,urban pressure,staying engaged with work,negative,201311_113.9210168_22.637396899999995.png,maintaining focus
roads,lack of detachment,avoid seeking respite,negative,201311_113.91650685779294_22.599782819195894.png,avoidance of refuge
traffic,connection to routines,continue daily responsibilities,negative,201311_113.91650685779294_22.599782819195894.png,engagement in daily life
signals,ongoing urban life,remain engaged with tasks,negative,201311_113.91650685779294_22.599782819195894.png,maintaining focus
buildings,not a refuge,transit activities,negative,201311_113.8903839_22.5539715.png,continued commuting
greenery,lack of mental respite,routine activities,negative,201311_113.8903839_22.5539715.png,engagement in daily life
highway,not conducive to escape,avoidance of refuge,negative,201311_113.9022082_22.590201799999996.png,avoidance of refuge
vehicles,associated with movement,engagement in purpose,neutral,201311_113.9022082_22.590201799999996.png,engagement in purpose
traffic,limited sense of being away,prevent mental escape,negative,201311_113.907799_22.526203099999996.png,lack of escape from demands
building,evokes thoughts of routines,trigger thoughts of responsibilities,negative,201311_113.907799_22.526203099999996.png,reminded of obligations
road,incomplete escape,transient experience,negative,201311_113.90606_22.596435000000003.png,no complete refuge
trees,visual buffer,mitigating concerns,positive,201311_113.90606_22.596435000000003.png,brief respite
highway,lack of refuge,avoidance of demands,negative,201311_113.9315387_22.6072424.png,avoidance of stress
vehicles,cognitive demands,routine engagement,negative,201311_113.9315387_22.6072424.png,continue daily responsibilities
infrastructure,not an escape,continued stress,negative,201311_113.9315387_22.6072424.png,feel stressed
nature,hint of tranquility,temporary relief,neutral,201311_113.9315387_22.6072424.png,respite
trees,moderate sense of being away,respite from urban nuisances,positive,201311_113.92134492327405_22.6301559311904.png,respite from city life
road,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png,recognition of demands
traffic,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png,recognition of demands
car,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png,recognition of demands
greenery,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png,mental detachment
trees,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png,mental detachment
sky,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png,mental detachment
road,sense of detachment,move away from demands,positive,201311_113.95997440000001_22.599463099999998.png,feeling of being in transit
traffic,not a complete escape,awareness of daily life,negative,201311_113.95997440000001_22.599463099999998.png,awareness of urban environment
street,lack of refuge,transit,negative,201311_113.9212475061574_22.624198398318953.png,transit
vehicles,active environment,daily functioning,negative,201311_113.9212475061574_22.624198398318953.png,none
traffic,not tranquil escape,obligation focus,negative,201311_113.9212475061574_22.624198398318953.png,focus on responsibilities
path,moderate sense of being away,potential escape from urban life,positive,201311_113.955732_22.590690699999996.png,seek escape
greenery,calm atmosphere,encourages relaxation,positive,201311_113.955732_22.590690699999996.png,relaxation
buildings,limited feeling of refuge,reminds of daily responsibilities,negative,201311_113.955732_22.590690699999996.png,constant reminders of daily demands
activity,lack of complete detachment,prevents full escape,negative,201311_113.955732_22.590690699999996.png,no complete refuge
road,not a refuge,escape from thoughts,negative,201311_113.93390290000002_22.603255199999996.png,mental detachment
vehicles,functional space,concerns remain,negative,201311_113.93390290000002_22.603255199999996.png,constant thinking
traffic,strong sense of escape unlikely,avoidance of stress,negative,201311_113.93390290000002_22.603255199999996.png,avoidance of bothersome elements
roadway,escape from demands,relaxation,positive,201311_113.972093_22.603460099999996.png,seeking serenity
greenery,serene atmosphere,mental clarity,positive,201311_113.972093_22.603460099999996.png,search for calm
traffic,departure from nuisances,calmness,positive,201311_113.972093_22.603460099999996.png,seeking serenity
greenery,sense of escape,detach from daily demands,positive,201311_113.97217166373336_22.598046834891043.png,mental detachment
trees,calmness,clear mind,positive,201311_113.97217166373336_22.598046834891043.png,mental clarity
road,respite from urban hustle,seek tranquility,positive,201311_113.97217166373336_22.598046834891043.png,seeking serenity
wooded areas,enclosed nature,escape city life,positive,201311_113.97217166373336_22.598046834891043.png,relief from worries
buildings,not a refuge,difficult to disengage,negative,201311_113.9785024_22.6241635.png,evasion of mental disengagement
traffic,actively stimulating,hard to focus,negative,201311_113.9785024_22.6241635.png,distraction from thoughts
activity,busy environment,challenging to rest,negative,201311_113.9785024_22.6241635.png,limited engagement with nature
street,not a refuge,difficulty escaping thoughts,negative,201311_113.9787376_22.589872099999997.png,incomplete escape
traffic,feeling of public activity,inability to mentally disengage,negative,201311_113.9787376_22.589872099999997.png,difficult to disengage
commercial,active space,struggle with everyday responsibilities,negative,201311_113.9787376_22.589872099999997.png,feeling overwhelmed
vegetation,escape from urban nuisances,detachment from routine,positive,201311_113.9824091_22.594394199999996.png,mental detachment
pathway,separation from city life,taking a break,positive,201311_113.9824091_22.594394199999996.png,brief respite
urban elements,visible demands of city life,awareness of routine concerns,negative,201311_113.9824091_22.594394199999996.png,awareness of urban environment
road,not a refuge,no escape,negative,201311_113.9874162_22.598817899999997.png,no complete refuge
vehicles,associated stresses,no mental disengagement,negative,201311_113.9874162_22.598817899999997.png,inability to relax
environment,part of everyday life,no sanctuary,negative,201311_113.9874162_22.598817899999997.png,no complete refuge
buildings,moderate sense of being away,not a complete refuge,neutral,201311_113.9934289_22.598725899999998.png,no complete refuge
roads,connection to regular life,implies ongoing urban development,negative,201311_113.9934289_22.598725899999998.png,awareness of urban environment
greenery,moderate sense of being away,seeking refuge,positive,201311_113.9956108_22.602901100000004.png,seeking serenity
water,moderate sense of being away,seeking refuge,positive,201311_113.9956108_22.602901100000004.png,seeking serenity
buildings,not entirely removed from daily demands,limited escape,negative,201311_113.9956108_22.602901100000004.png,no escape
roads,not entirely removed from daily demands,limited escape,negative,201311_113.9956108_22.602901100000004.png,no escape
cars,doesn't strongly signal an escape,limited escape,negative,201311_113.9956108_22.602901100000004.png,no escape
construction,lack of detachment,continued engagement,negative,201311_113.9849525_22.597865099999996.png,maintaining focus
signage,lack of tranquility,task-oriented actions,negative,201311_113.9849525_22.597865099999996.png,focus on responsibilities
infrastructure,active environment,focus on responsibilities,negative,201311_113.9849525_22.597865099999996.png,focus on daily life
urban,not a refuge,avoidance of relaxation,negative,201311_113.9849525_22.597865099999996.png,avoidance of refuge
trees,sense of detachment,mental disengagement,positive,201311_113.97215286575438_22.599851368800312.png,limited detachment
ambiance,peaceful atmosphere,feeling of escape,positive,201311_113.97215286575438_22.599851368800312.png,seeking serenity
vehicles,limited sense of being away,transit and activity,negative,201311_114.010794_22.5554258.png,continued commuting
greenery,slight contrast to urban environments,mental escape,neutral,201311_114.010794_22.5554258.png,seeking serenity
environment,lack of strong detachment,none,negative,201311_114.010794_22.5554258.png,none
street,not a refuge,avoidance of stress,negative,201311_114.00419846671053_22.673102084815238.png,avoidance of bothersome elements
construction,lack of tranquility,distraction from thoughts,negative,201311_114.00419846671053_22.673102084815238.png,distraction from worries
environment,functional,minimal engagement,negative,201311_114.00419846671053_22.673102084815238.png,limited detachment
greenery,sense of escape,mental detachment,positive,201311_113.9934635_22.605469299999996.png,search for calm
sky,feeling of refuge,stress relief,positive,201311_113.9934635_22.605469299999996.png,respite
road,separation from concerns,enhanced focus,positive,201311_113.9934635_22.605469299999996.png,active engagement
buildings,lack of escape,no refuge seeking,negative,201311_113.9978764_22.603342699999995.png,seek escape
roads,active environment,engagement with surroundings,neutral,201311_113.9978764_22.603342699999995.png,interacting with surroundings
infrastructure,urban setting,potential activity,neutral,201311_113.9978764_22.603342699999995.png,engagement in urban activity
elements,absence of nature,lack of relaxation,negative,201311_113.9978764_22.603342699999995.png,seeking refuge elsewhere
seclusion,lack of privacy,no withdrawal,negative,201311_113.9978764_22.603342699999995.png,no escape
trees,calm atmosphere,moderate sense of being away,positive,201311_114.0367137_22.625328199999995.png,short-term escape from annoyances
buildings,sense of everyday life,not feeling like an escape,negative,201311_114.0367137_22.625328199999995.png,avoidance of solitude
vehicles,active environment,suggests activity,negative,201311_114.0367137_22.625328199999995.png,suggests activity
greenery,not a wilderness,lack of retreat space,negative,201311_114.0367137_22.625328199999995.png,lack of retreat space
intersection,difficult to feel removed,engaged with surroundings,negative,201311_114.108805_22.539949000000004.png,engaged with surroundings
traffic,constant activity,focused on tasks,negative,201311_114.108805_22.539949000000004.png,focused on tasks
urban,not a refuge,mental disengagement,negative,201311_114.108805_22.539949000000004.png,limited detachment
street,not a refuge,difficulty disconnecting,negative,201311_114.1329892_22.5822593.png,challenging to rest
traffic,stressful environment,increased anxiety,negative,201311_114.1329892_22.5822593.png,awareness of stress
activity,lack of mental respite,continuation of urban grind,negative,201311_114.1329892_22.5822593.png,ongoing engagement with daily life
street,lack of mental escape,difficulty in detachment,negative,201311_114.07813510000001_22.5592236.png,inability to detach from responsibilities
cars,distraction from tasks,increased focus on daily life,negative,201311_114.07813510000001_22.5592236.png,heightened sensitivity to stress
shops,busy environment,engagement with public space,neutral,201311_114.07813510000001_22.5592236.png,engage with immediate surroundings
pedestrians,active public space,observation of daily life,neutral,201311_114.07813510000001_22.5592236.png,increased task-oriented thinking
vehicles,detracted sense of escape,less engagement with nature,negative,201311_114.0918839_22.580004399999996.png,functional space usage
urban,lack of refuge,continued routine activities,negative,201311_114.0918839_22.580004399999996.png,pressure from responsibilities
natural,mixed feelings of comfort,limited exploration,neutral,201311_114.0918839_22.580004399999996.png,engage in routine activities
industrial,increased stress,avoidance of the area,negative,201311_114.0918839_22.580004399999996.png,seek refuge from urban demands
trees,slight sense of escape,temporary relief from urban demands,positive,201311_114.1260936_22.5848949.png,slight break from demands
roadway,embedded in daily life,continuation of daily tasks,negative,201311_114.1260936_22.5848949.png,pressure from responsibilities
construction,presence of nuisances,distraction from relaxation,negative,201311_114.1260936_22.5848949.png,limited opportunities for relaxation
hills,distant view,momentary distraction,neutral,201311_114.1260936_22.5848949.png,momentary detachment from thoughts
street,limited sense of being away,lack of escape,negative,201311_114.0363794_22.549060799999996.png,no refuge seeking
construction,not a peaceful refuge,increased stress,negative,201311_114.0363794_22.549060799999996.png,continued stress
traffic,detachment from usual concerns,distraction from relaxation,negative,201311_114.0363794_22.549060799999996.png,limited opportunities for relaxation
trees,break from built environment,seeking relaxation,positive,201311_114.1331646_22.6036264.png,seeking calmness
shade,sense of comfort,spending time outdoors,positive,201311_114.1331646_22.6036264.png,search for open areas
pedestrians,departure from urban demands,engaging with community,positive,201311_114.1331646_22.6036264.png,engagement in daily demands
infrastructure,limited escape,feeling constrained,negative,201311_114.1331646_22.6036264.png,feeling constrained
trees,potential escape from urban bustle,seek refuge,positive,201311_114.13313586110559_22.60543104368196.png,seeking calmness
roads,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png,difficulty in detaching thoughts
vehicles,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png,difficulty in detaching thoughts
fencing,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png,difficulty in detaching thoughts
street,source of demands,avoid seeking refuge,negative,201311_114.1398083_22.565269999999995.png,no refuge seeking
traffic,not tranquil,avoid escape,negative,201311_114.1398083_22.565269999999995.png,limited disconnection
development,ongoing nuisances,not seeking out,negative,201311_114.1398083_22.565269999999995.png,no refuge seeking
trees,respite from urban nuisances,escape from daily demands,positive,201311_114.13318312310899_22.60182164061621.png,escape from daily stresses
seclusion,sense of escape,mental break from tasks,positive,201311_114.13318312310899_22.60182164061621.png,momentary detachment from thoughts
separation,clear distinction between areas,enhanced pedestrian experience,positive,201311_114.13318312310899_22.60182164061621.png,enjoy outdoor spaces
natural elements,mental refreshment,relaxation from city life,positive,201311_114.13318312310899_22.60182164061621.png,relaxation from city life
environment,strong sense of escape,seeking refuge,positive,201311_114.1422458_22.573539200000006.png,seeking serenity
scenery,clear separation from responsibilities,disengaging from routines,positive,201311_114.1422458_22.573539200000006.png,inability to detach from responsibilities
streetscape,limited restorative potential,escape demanding thoughts,negative,201311_114.158799_22.6090681.png,escape from daily stresses
traffic,lack of peace,avoid distractions,negative,201311_114.158799_22.6090681.png,exposure to distractions
buildings,not a true refuge,find tranquility,negative,201311_114.158799_22.6090681.png,mental escape
pedestrian activity,usual distractions,seek solitude,negative,201311_114.158799_22.6090681.png,mental escape
road,lack of escape,avoidance of stress,negative,201311_114.1664523_22.6055109.png,avoidance of bothersome elements
traffic,overwhelmed feeling,increased anxiety,negative,201311_114.1664523_22.6055109.png,awareness of stress
water,minimal relaxation,limited respite,neutral,201311_114.1664523_22.6055109.png,temporary refuge
greenery,insufficient tranquility,lack of engagement,negative,201311_114.1664523_22.6055109.png,limited disconnection
urban,active connection,social interaction,positive,201311_114.1664523_22.6055109.png,active urban engagement
trees,respite from urban hustle,seeking relaxation,positive,201311_114.14111260000001_22.612017599999994.png,seeking calmness
sunlight,sense of warmth and comfort,enjoying outdoor spaces,positive,201311_114.14111260000001_22.612017599999994.png,seek tranquility
street,active urban environment,engaging with city life,negative,201311_114.14111260000001_22.612017599999994.png,engage with immediate surroundings
traffic,stress from noise and congestion,avoiding busy areas,negative,201311_114.14111260000001_22.612017599999994.png,withdrawal from environment
buildings,lack of escape,searching for tranquility,negative,201311_114.14111260000001_22.612017599999994.png,seeking calmness
homes,respite from urban nuisances,seeking comfort,positive,201311_114.1699075_22.572947699999997.png,seeking calmness
greenery,departure from everyday life,relaxation,positive,201311_114.1699075_22.572947699999997.png,seeking serenity
road,reminders of daily routines,distraction,negative,201311_114.1699075_22.572947699999997.png,partial distraction
cars,urban settings,stress response,negative,201311_114.1699075_22.572947699999997.png,increased anxiety
built environment,incomplete sense of escape,frustration,negative,201311_114.1699075_22.572947699999997.png,increased anxiety
traffic,lack of refuge,continued engagement,negative,201311_114.1708255_22.6072058.png,maintaining focus
structures,active urban life,functional use,neutral,201311_114.1708255_22.6072058.png,focus on navigation
crossings,limited mental disengagement,navigating space,negative,201311_114.1708255_22.6072058.png,facilitate movement
cars,urban functionality,daily responsibilities,negative,201311_114.1708255_22.6072058.png,ongoing engagement with daily life
green,calm atmosphere,feeling of escape,positive,201311_114.1753739_22.602115699999995.png,seeking serenity
road,degree of separation,providing a pathway,neutral,201311_114.1753739_22.602115699999995.png,engagement in logistics
vegetation,feeling of refuge,momentarily disconnect,positive,201311_114.1712754_22.5966659.png,pause from routine
pathway,sense of being away,escape urban nuisances,positive,201311_114.1712754_22.5966659.png,escape from daily stresses
truck,less bustling environment,reduce daily demands,positive,201311_114.1712754_22.5966659.png,seeking calmness
bicycles,calm atmosphere,enjoy tranquility,positive,201311_114.1712754_22.5966659.png,seek escape
highway,limited escape,disconnect from demands,negative,201311_114.1766153913743_22.62211635756483.png,temporary refuge
