spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
highway,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png
lanes,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png
signage,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png
barriers,sense of coherence,efficient traffic flow,positive,201311_113.83766518162263_22.641416403895732.png
road,sense of order,easy navigation,positive,201311_113.83533558902073_22.644305643221244.png
lanes,predictability,confident driving,positive,201311_113.83533558902073_22.644305643221244.png
signage,clarity,informed decision-making,positive,201311_113.83533558902073_22.644305643221244.png
buildings,secondary focus,limited engagement,neutral,201311_113.83533558902073_22.644305643221244.png
greenery,background presence,minimal interaction,neutral,201311_113.83533558902073_22.644305643221244.png
road,moderate coherence,navigate space,neutral,201311_113.826843_22.5991516.png
trees,sense of nature,relax and enjoy,positive,201311_113.826843_22.5991516.png
overpass,sense of disarray,avoid area,negative,201311_113.826843_22.5991516.png
construction,sense of unfinished organization,feel confusion,negative,201311_113.826843_22.5991516.png
road,sense of order,navigate easily,positive,201311_113.8327226_22.588928800000005.png
wall,sense of structure,feel secure,positive,201311_113.8327226_22.588928800000005.png
nature,calming effect,relax and enjoy,positive,201311_113.8327226_22.588928800000005.png
road,feeling of coherence,sense of order,positive,201311_113.87865392033376_22.61317748414232.png
greenery,sense of organization,appreciation of space,positive,201311_113.87865392033376_22.61317748414232.png
lanes,clarity,navigation ease,positive,201311_113.87865392033376_22.61317748414232.png
divider,safety,increased confidence,positive,201311_113.87865392033376_22.61317748414232.png
highway,strong sense of organization,navigating efficiently,positive,201311_113.83882751120629_22.63997007932517.png
road,sense of coherence,following the path,positive,201311_113.83882751120629_22.63997007932517.png
barriers,structured and understandable,feeling secure,positive,201311_113.83882751120629_22.63997007932517.png
buildings,visual order,appreciating the environment,positive,201311_113.83882751120629_22.63997007932517.png
road,sense of order,navigate confidently,positive,201311_113.8247679_22.6033668.png
trees,natural arrangement,feel relaxed,positive,201311_113.8247679_22.6033668.png
guardrail,sense of safety,move freely,positive,201311_113.8247679_22.6033668.png
fence,obscured view,feel restricted,negative,201311_113.8247679_22.6033668.png
road,sense of order,navigate easily,positive,201311_113.8462841_22.583814599999993.png
sidewalk,sense of order,navigate easily,positive,201311_113.8462841_22.583814599999993.png
hedges,thoughtful landscaping,appreciate beauty,positive,201311_113.8462841_22.583814599999993.png
trees,thoughtful landscaping,appreciate beauty,positive,201311_113.8462841_22.583814599999993.png
natural elements,somewhat wild,explore freely,neutral,201311_113.8462841_22.583814599999993.png
arrangement,organized,understand space,positive,201311_113.8462841_22.583814599999993.png
road,somewhat organized,navigate easily,positive,201311_113.83844682320864_22.579318505915754.png
wall,sense of order,feel secure,positive,201311_113.83844682320864_22.579318505915754.png
vegetation,detracts from order,avoid area,negative,201311_113.83844682320864_22.579318505915754.png
graffiti,detracts from order,avoid area,negative,201311_113.83844682320864_22.579318505915754.png
highway,high degree of order,easy navigation,positive,201311_113.84117664281987_22.637094674727816.png
lanes,clear understanding,following road rules,positive,201311_113.84117664281987_22.637094674727816.png
infrastructure,well-maintained,confidence in safety,positive,201311_113.84117664281987_22.637094674727816.png
layout,organized and functional,efficient movement,positive,201311_113.84117664281987_22.637094674727816.png
roads,sense of order,navigate effectively,positive,201311_113.882861_22.6128348.png
landscaping,visual harmony,enjoy surroundings,positive,201311_113.882861_22.6128348.png
buildings,planned design,feel secure,positive,201311_113.882861_22.6128348.png
shrubs,aesthetic appeal,relax and unwind,positive,201311_113.882861_22.6128348.png
trees,consistent visual lines,promote tranquility,positive,201311_113.882861_22.6128348.png
buildings,slight sense of disorder,distraction,negative,201311_113.8964295_22.5980825.png
trees,slight sense of disorder,distraction,negative,201311_113.8964295_22.5980825.png
road,slight sense of disorder,distraction,negative,201311_113.8964295_22.5980825.png
materials,lack of cohesion,avoidance,negative,201311_113.8964295_22.5980825.png
greenery,lack of cohesion,avoidance,negative,201311_113.8964295_22.5980825.png
road,sense of order,navigate smoothly,positive,201311_113.9210168_22.637396899999995.png
barrier,disarray,hesitate or avoid,negative,201311_113.9210168_22.637396899999995.png
landscaping,sense of coherence,feel comfortable navigating,positive,201311_113.91650685779294_22.599782819195894.png
markings,predictable environment,follow paths easily,positive,201311_113.91650685779294_22.599782819195894.png
layout,understandable space,explore confidently,positive,201311_113.91650685779294_22.599782819195894.png
buildings,sense of order,easier navigation,positive,201311_113.8903839_22.5539715.png
roads,sense of organization,increased comfort,positive,201311_113.8903839_22.5539715.png
cars,proper placement,enhanced safety,positive,201311_113.8903839_22.5539715.png
paving,intentional design,greater appreciation,positive,201311_113.8903839_22.5539715.png
streetlights,visibility,improved security,positive,201311_113.8903839_22.5539715.png
highway,clear understanding,navigate effectively,positive,201311_113.9022082_22.590201799999996.png
lanes,sense of order,follow traffic rules,positive,201311_113.9022082_22.590201799999996.png
barriers,feeling of safety,drive confidently,positive,201311_113.9022082_22.590201799999996.png
markings,predictable environment,make informed decisions,positive,201311_113.9022082_22.590201799999996.png
roads,sense of order,navigate effectively,positive,201311_113.907799_22.526203099999996.png
buildings,organized environment,engage with space,positive,201311_113.907799_22.526203099999996.png
pathways,logical layout,move confidently,positive,201311_113.907799_22.526203099999996.png
sidewalks,safety awareness,walk comfortably,positive,201311_113.907799_22.526203099999996.png
crosswalks,traffic clarity,cross safely,positive,201311_113.907799_22.526203099999996.png
trees,aesthetic appeal,enjoy surroundings,positive,201311_113.907799_22.526203099999996.png
road,sense of order,navigate easily,positive,201311_113.90606_22.596435000000003.png
trees,visual harmony,enjoy surroundings,positive,201311_113.90606_22.596435000000003.png
intersection,logical arrangement,understand layout,positive,201311_113.90606_22.596435000000003.png
highway,sense of organization,navigate effectively,positive,201311_113.9315387_22.6072424.png
greenery,intentional design,appreciate aesthetics,positive,201311_113.9315387_22.6072424.png
lanes,logical order,follow traffic rules,positive,201311_113.9315387_22.6072424.png
guardrails,sense of safety,drive confidently,positive,201311_113.9315387_22.6072424.png
underpasses,structured environment,move smoothly,positive,201311_113.9315387_22.6072424.png
road,sense of structure,navigating the area,positive,201311_113.92134492327405_22.6301559311904.png
sidewalks,sense of structure,navigating the area,positive,201311_113.92134492327405_22.6301559311904.png
trees,sense of structure,enjoying the environment,positive,201311_113.92134492327405_22.6301559311904.png
walkway,sense of order,walking comfortably,positive,201311_113.92134492327405_22.6301559311904.png
debris,slight detriment to organization,avoiding cluttered areas,negative,201311_113.92134492327405_22.6301559311904.png
road,organized system,navigate safely,positive,201311_113.95997440000001_22.599463099999998.png
lanes,clear structure,follow directions,positive,201311_113.95997440000001_22.599463099999998.png
